uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_5027,No,Urban,Yes,1.0,77,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_4264,No,Rural,Yes,2.0,29,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_358,No,Rural,Yes,1.0,65,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_1668,No,Urban,Yes,3.0,20,Female,Parent,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_4472,No,Urban,Yes,2.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4896,No,Urban,No,2.0,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_3086,No,Urban,No,2.0,40,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_4027,No,Urban,Yes,5.0,58,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_359,No,Urban,Yes,2.0,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6424,No,Urban,Yes,2.0,22,Female,Other relative,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_448,No,Urban,Yes,,22,Male,Parent,Divorced/Seperated,Secondary education,Self employed
uniqueid_980,No,Urban,Yes,2.0,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_857,No,Urban,Yes,,30,Female,Head of Household,Single/Never Married,Tertiary education,No Income
uniqueid_1815,No,Urban,Yes,3.0,28,Male,Parent,Married/Living together,No formal education,Informally employed
uniqueid_4923,No,Urban,No,2.0,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_624,No,Urban,No,2.0,21,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4274,No,Rural,Yes,2.0,33,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
uniqueid_3159,No,Urban,No,1.0,58,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5377,No,Urban,Yes,2.0,68,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_764,No,Urban,Yes,2.0,17,Male,Other relative,Divorced/Seperated,Secondary education,Self employed
uniqueid_977,No,Rural,Yes,2.0,24,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3404,No,Urban,Yes,2.0,73,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_213,Yes,Urban,Yes,1.0,36,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3088,No,Urban,Yes,2.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1828,No,Urban,No,5.0,56,Female,Child,Married/Living together,No formal education,Remittance Dependent
uniqueid_1702,No,Urban,No,2.0,39,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_239,No,Urban,No,3.0,19,Female,Spouse,Single/Never Married,Secondary education,Informally employed
uniqueid_2051,No,Rural,Yes,1.0,23,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
uniqueid_2943,No,Rural,Yes,4.0,21,Female,Other non-relatives,Divorced/Seperated,Tertiary education,No Income
uniqueid_3820,No,Urban,No,2.0,24,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_938,Yes,Urban,Yes,1.0,42,Female,Head of Household,Widowed,Tertiary education,Formally employed Private
uniqueid_987,No,Urban,No,3.0,25,Male,Other relative,Divorced/Seperated,Primary education,No Income
uniqueid_3216,No,Urban,No,,23,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5810,No,Urban,Yes,2.0,38,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_1107,No,Urban,No,1.0,40,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_4263,No,Urban,Yes,3.0,20,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_4615,No,Urban,No,5.0,47,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1839,Yes,Rural,Yes,3.0,35,Female,Spouse,Single/Never Married,Tertiary education,Self employed
uniqueid_6210,No,Urban,Yes,3.0,26,Female,Parent,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_6491,No,Urban,No,1.0,26,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_2938,Yes,Rural,Yes,2.0,45,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_2408,No,Urban,No,2.0,22,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6173,No,Urban,Yes,5.0,19,Female,Parent,Widowed,Primary education,Self employed
uniqueid_2597,No,Urban,Yes,1.0,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4043,No,Urban,No,1.0,57,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_5829,No,Rural,Yes,2.0,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4048,No,Urban,No,2.0,45,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_3246,No,Urban,No,,52,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2318,No,Urban,Yes,1.0,64,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_38,No,Urban,Yes,5.0,31,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6279,No,Urban,No,,59,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_5381,Yes,Rural,Yes,4.0,61,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
uniqueid_4148,Yes,Rural,Yes,2.0,40,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
uniqueid_1457,No,Urban,Yes,3.0,37,Female,Other relative,Widowed,Secondary education,Self employed
uniqueid_1431,No,Rural,Yes,2.0,83,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent
uniqueid_1408,No,Rural,Yes,2.0,26,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_335,No,Urban,No,3.0,25,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6411,No,Urban,No,10.0,22,Female,Parent,Single/Never Married,No formal education,Self employed
uniqueid_3697,No,Urban,Yes,3.0,26,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_289,No,Rural,No,3.0,45,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4351,No,Rural,Yes,3.0,53,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2606,No,Urban,No,4.0,23,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_6290,No,Urban,Yes,7.0,66,Female,Head of Household,Single/Never Married,No formal education,Remittance Dependent
uniqueid_611,No,Urban,No,2.0,88,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_2073,No,Urban,No,3.0,16,Male,Parent,Divorced/Seperated,Secondary education,Self employed
uniqueid_5401,No,Urban,No,2.0,37,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5035,No,Urban,Yes,4.0,21,Female,Other non-relatives,Single/Never Married,Primary education,Self employed
uniqueid_1016,No,Urban,Yes,1.0,31,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_5466,No,Rural,Yes,1.0,41,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3441,No,Urban,Yes,4.0,25,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_284,No,Urban,Yes,2.0,29,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4608,No,Urban,Yes,3.0,44,Male,Parent,Married/Living together,Primary education,Self employed
uniqueid_6387,No,Rural,Yes,1.0,20,Male,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
uniqueid_2814,No,Urban,No,3.0,17,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_6553,No,Rural,Yes,6.0,24,Male,Other relative,Divorced/Seperated,Vocational/Specialised training,Self employed
uniqueid_6026,No,Urban,Yes,1.0,27,Female,Head of Household,Married/Living together,Secondary education,Self employed
uniqueid_1151,No,Urban,Yes,2.0,31,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_739,No,Rural,No,1.0,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1868,Yes,Urban,Yes,2.0,20,Male,Child,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_5527,No,Rural,No,2.0,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4262,No,Urban,Yes,1.0,45,Female,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_1148,No,Urban,Yes,2.0,58,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2556,No,Rural,Yes,1.0,30,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3193,No,Urban,Yes,3.0,46,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4372,No,Rural,Yes,4.0,43,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_2464,No,Urban,Yes,1.0,51,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6017,No,Rural,Yes,,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2638,No,Rural,Yes,2.0,22,Female,Spouse,Single/Never Married,Tertiary education,No Income
uniqueid_182,No,Urban,No,2.0,25,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_1504,No,Urban,No,,18,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6081,No,Urban,Yes,1.0,48,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_6457,No,Urban,Yes,1.0,41,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1667,Yes,Urban,Yes,2.0,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6513,No,Urban,No,1.0,64,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3136,No,Rural,Yes,3.0,19,Female,Parent,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_1280,No,Rural,No,1.0,70,Female,Head of Household,Widowed,Primary education,Government Dependent
uniqueid_3557,No,Rural,Yes,,36,Male,Head of Household,Married/Living together,Tertiary education,Informally employed
uniqueid_5654,No,Urban,Yes,2.0,57,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4483,No,Urban,Yes,2.0,81,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_1150,No,Urban,Yes,2.0,32,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_4665,No,Urban,No,2.0,29,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_19,No,Urban,No,2.0,60,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_4244,No,Rural,Yes,,25,Male,Parent,Divorced/Seperated,Tertiary education,No Income
uniqueid_3224,No,Urban,No,,35,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3131,Yes,Urban,Yes,2.0,26,Female,Spouse,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_2930,No,Urban,Yes,3.0,31,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_1575,No,Urban,No,2.0,28,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2279,No,Urban,No,,45,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_2413,No,Rural,Yes,3.0,27,Female,Parent,Divorced/Seperated,Primary education,Informally employed
uniqueid_1956,No,Urban,No,2.0,22,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3776,No,Urban,Yes,3.0,59,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4373,No,Rural,No,2.0,56,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4202,No,Urban,No,2.0,30,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5419,No,Urban,Yes,3.0,32,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5041,No,Urban,Yes,3.0,60,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3245,No,Urban,Yes,2.0,33,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_665,No,Rural,No,3.0,60,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_5287,No,Urban,No,2.0,66,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1816,No,Urban,Yes,,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_1755,Yes,Rural,Yes,,43,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_488,No,Rural,No,2.0,53,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_4635,No,Urban,Yes,4.0,20,Male,Other relative,Divorced/Seperated,Primary education,Self employed
uniqueid_1585,No,Urban,No,1.0,67,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_2574,No,Urban,Yes,3.0,16,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_5303,No,Urban,No,5.0,18,Male,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_2126,No,Rural,No,2.0,38,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_1160,No,Urban,Yes,1.0,65,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3793,No,Urban,No,3.0,16,Male,Child,Divorced/Seperated,Primary education,Self employed
uniqueid_3568,Yes,Urban,Yes,,37,Female,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_1117,Yes,Urban,Yes,4.0,66,Female,Spouse,Single/Never Married,Primary education,Government Dependent
uniqueid_3366,No,Urban,Yes,4.0,26,Male,Parent,Divorced/Seperated,Tertiary education,Self employed
uniqueid_1680,No,Rural,Yes,,22,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_2560,No,Urban,No,4.0,17,Female,Child,Divorced/Seperated,Primary education,Self employed
uniqueid_3854,No,Urban,No,2.0,34,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3440,Yes,Rural,Yes,2.0,31,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_6098,No,Urban,No,2.0,37,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_5260,No,Urban,Yes,1.0,64,Female,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_6070,No,Urban,Yes,3.0,45,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2477,Yes,Rural,Yes,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5015,No,Rural,Yes,4.0,24,Female,Parent,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_1835,No,Rural,Yes,1.0,78,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_2458,No,Urban,No,,42,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_1226,No,Rural,No,1.0,46,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_149,No,Urban,Yes,1.0,74,Male,Head of Household,Single/Never Married,No formal education,Remittance Dependent
uniqueid_1627,No,Rural,No,,18,Male,Other relative,Divorced/Seperated,Secondary education,No Income
uniqueid_6496,No,Urban,No,4.0,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5865,No,Rural,No,2.0,16,Female,Head of Household,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_5785,No,Urban,No,1.0,30,Female,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4451,No,Rural,Yes,2.0,17,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_6593,No,Urban,No,,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_415,No,Urban,Yes,2.0,33,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_882,No,Urban,Yes,2.0,53,Male,Other relative,Widowed,Tertiary education,Self employed
uniqueid_610,No,Urban,No,2.0,28,Female,Head of Household,Single/Never Married,No formal education,Remittance Dependent
uniqueid_4846,No,Urban,Yes,2.0,50,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2129,No,Urban,No,6.0,20,Female,Other relative,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_5910,No,Urban,No,2.0,26,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_193,No,Urban,No,1.0,57,Female,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_4959,No,Urban,Yes,2.0,27,Female,Spouse,Single/Never Married,Secondary education,No Income
uniqueid_6607,No,Urban,Yes,,23,Female,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_6488,Yes,Rural,Yes,1.0,28,Female,Head of Household,Divorced/Seperated,Tertiary education,Remittance Dependent
uniqueid_1927,Yes,Rural,Yes,2.0,40,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
uniqueid_4489,No,Urban,Yes,4.0,40,Female,Parent,Married/Living together,Primary education,Informally employed
uniqueid_330,No,Urban,Yes,2.0,44,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_349,No,Urban,No,2.0,48,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5315,No,Urban,Yes,2.0,39,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3303,No,Urban,Yes,2.0,25,Male,Parent,Married/Living together,Primary education,Self employed
uniqueid_5022,No,Urban,No,1.0,60,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_1784,No,Rural,Yes,2.0,20,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_86,No,Urban,Yes,2.0,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3248,No,Urban,Yes,2.0,35,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_4759,No,Urban,No,1.0,32,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1718,No,Urban,Yes,1.0,39,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_6219,No,Urban,No,2.0,56,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5025,No,Urban,No,,46,Female,Spouse,Single/Never Married,No formal education,Government Dependent
uniqueid_5857,No,Urban,Yes,2.0,20,Male,Parent,Divorced/Seperated,No formal education,Self employed
uniqueid_1463,No,Urban,No,2.0,36,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_6621,No,Urban,Yes,2.0,27,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_324,No,Urban,Yes,5.0,23,Male,Other relative,Divorced/Seperated,Primary education,Self employed
uniqueid_1885,No,Urban,No,2.0,32,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5294,No,Urban,No,,22,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5876,No,Rural,Yes,1.0,24,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_248,No,Urban,Yes,,30,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
uniqueid_4539,No,Urban,No,4.0,42,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_5681,No,Urban,No,3.0,17,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_3574,No,Urban,No,2.0,20,Female,Spouse,Single/Never Married,Secondary education,No Income
uniqueid_3573,No,Urban,No,1.0,50,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_94,Yes,Urban,Yes,2.0,28,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_2838,No,Rural,Yes,2.0,31,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_1278,No,Urban,No,2.0,18,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_395,No,Urban,No,1.0,34,Male,Head of Household,Divorced/Seperated,No formal education,Self employed
uniqueid_386,No,Urban,Yes,2.0,45,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2847,Yes,Urban,Yes,1.0,50,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_1964,No,Rural,No,4.0,50,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_5560,Yes,Rural,Yes,1.0,35,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_5265,No,Urban,Yes,1.0,36,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_2536,No,Urban,Yes,2.0,37,Female,Spouse,Single/Never Married,Primary education,Informally employed
uniqueid_3610,No,Rural,Yes,2.0,41,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
uniqueid_4911,No,Urban,No,2.0,37,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_6328,No,Rural,Yes,2.0,60,Female,Spouse,Single/Never Married,No formal education,Informally employed
uniqueid_6139,No,Urban,Yes,4.0,48,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_212,No,Urban,Yes,5.0,17,Female,Parent,Divorced/Seperated,Primary education,No Income
uniqueid_2675,No,Rural,Yes,3.0,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1191,No,Urban,No,2.0,70,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2989,Yes,Urban,Yes,1.0,38,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
uniqueid_5772,No,Rural,Yes,2.0,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3360,No,Rural,Yes,1.0,48,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_2736,Yes,Rural,Yes,2.0,18,Female,Other non-relatives,Divorced/Seperated,Primary education,Formally employed Private
uniqueid_3677,No,Rural,Yes,2.0,81,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_4033,No,Urban,No,3.0,70,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_1171,No,Urban,No,2.0,70,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_1602,No,Urban,No,2.0,17,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3623,No,Urban,Yes,4.0,27,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_2591,No,Urban,No,3.0,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1952,No,Urban,No,2.0,55,Male,Head of Household,Divorced/Seperated,No formal education,Informally employed
uniqueid_3825,No,Urban,No,2.0,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_5524,No,Urban,Yes,2.0,25,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
uniqueid_708,No,Urban,Yes,,28,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
uniqueid_2116,No,Rural,Yes,,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3078,Yes,Rural,Yes,1.0,25,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Remittance Dependent
uniqueid_5800,No,Urban,No,1.0,75,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_6469,No,Urban,Yes,2.0,18,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_2582,No,Urban,No,3.0,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_4125,No,Urban,Yes,2.0,23,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_3590,No,Rural,Yes,,26,Male,Parent,Divorced/Seperated,Tertiary education,Informally employed
uniqueid_366,Yes,Urban,Yes,2.0,41,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
uniqueid_4550,No,Urban,Yes,7.0,30,Male,Parent,Single/Never Married,Primary education,Self employed
uniqueid_2753,No,Rural,Yes,2.0,23,Female,Spouse,Single/Never Married,Primary education,No Income
uniqueid_4197,No,Urban,Yes,4.0,19,Male,Child,Divorced/Seperated,Primary education,Self employed
uniqueid_129,No,Urban,No,4.0,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_5530,Yes,Rural,Yes,7.0,21,Male,Parent,Divorced/Seperated,Tertiary education,Formally employed Private
uniqueid_5687,No,Urban,No,3.0,68,Male,Head of Household,Single/Never Married,No formal education,No Income
uniqueid_4353,No,Urban,Yes,5.0,86,Male,Head of Household,Single/Never Married,No formal education,Self employed
uniqueid_4571,No,Rural,Yes,,19,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_1770,No,Urban,No,2.0,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6138,No,Urban,No,1.0,88,Male,Head of Household,Widowed,No formal education,Self employed
uniqueid_2766,No,Rural,Yes,2.0,37,Female,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_837,No,Urban,No,3.0,65,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_4653,No,Rural,Yes,2.0,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2496,Yes,Urban,Yes,1.0,25,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_2076,No,Rural,Yes,,28,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4342,No,Rural,Yes,2.0,22,Male,Parent,Divorced/Seperated,Tertiary education,No Income
uniqueid_3960,No,Urban,Yes,3.0,33,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_3940,No,Rural,Yes,4.0,40,Female,Spouse,Single/Never Married,No formal education,Self employed
uniqueid_5665,No,Rural,Yes,2.0,23,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_5355,No,Urban,Yes,2.0,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1530,No,Urban,Yes,2.0,77,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_4023,No,Urban,No,2.0,67,Male,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_4554,No,Urban,No,,50,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_425,No,Urban,Yes,,37,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1649,No,Rural,Yes,,43,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_370,No,Urban,Yes,5.0,35,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_4054,No,Urban,Yes,10.0,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2427,No,Urban,Yes,3.0,17,Male,Parent,Divorced/Seperated,Primary education,Self employed
uniqueid_6507,No,Urban,Yes,,47,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_2270,No,Urban,No,5.0,17,Male,Parent,Divorced/Seperated,Secondary education,No Income
uniqueid_1984,No,Urban,Yes,2.0,51,Female,Spouse,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_2118,No,Rural,No,1.0,19,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_3721,No,Urban,No,2.0,63,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_2145,No,Urban,No,5.0,44,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_5700,No,Rural,Yes,2.0,36,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
uniqueid_597,No,Urban,No,1.0,23,Female,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_6274,No,Urban,No,2.0,34,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3043,Yes,Rural,Yes,2.0,20,Female,Spouse,Divorced/Seperated,Tertiary education,Formally employed Private
uniqueid_2824,No,Rural,No,2.0,23,Female,Spouse,Single/Never Married,Primary education,Self employed
uniqueid_3313,No,Urban,Yes,,55,Male,Head of Household,Widowed,Primary education,Self employed
uniqueid_2965,No,Urban,No,2.0,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_2652,Yes,Rural,Yes,1.0,24,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
uniqueid_6235,No,Urban,Yes,2.0,22,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
uniqueid_2827,No,Urban,Yes,3.0,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_447,Yes,Rural,Yes,1.0,43,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
